Obs.	statenum	casenum	vnumber	pnumber	atmcond	atmcond2	city	county	acchr	accmon	dayofweek	lightcond	intersectiontype	injury	
584	25	273	2	6	4	0	422	11	19	11	7	2	4	1	
585	25	273	3	1	4	0	422	11	19	11	7	2	4	0	
586	25	273	3	2	4	0	422	11	19	11	7	2	4	0	
587	25	273	3	3	4	0	422	11	19	11	7	2	4	0	
588	25	274	0	1	1	0	520	17	17	9	4	1	1	4	
589	25	274	1	1	1	0	520	17	17	9	4	1	1	0	
590	25	275	1	1	1	10	370	21	5	10	1	2	1	4	
591	25	276	1	1	1	0	500	13	0	11	1	3	1	4	
592	25	277	1	1	1	0	1085	23	17	9	1	5	1	4	
593	25	277	2	1	1	0	1085	23	17	9	1	5	1	0	
594	25	278	1	1	1	0	258	11	15	11	2	1	1	5	
595	25	278	2	1	1	0	258	11	15	11	2	1	1	4	
596	25	279	1	1	1	0	350	27	18	9	4	3	2	4	
597	25	279	2	1	1	0	350	27	18	9	4	3	2	0	
598	25	280	1	1	1	0	210	13	17	9	7	1	1	4	
599	25	280	1	2	1	0	210	13	17	9	7	1	1	3	
600	25	281	1	1	1	0	1280	5	15	10	3	1	1	4	
601	25	281	1	2	1	0	1280	5	15	10	3	1	1	3	
602	25	282	1	1	1	0	1380	27	14	6	2	1	1	4	
603	25	282	2	1	1	0	1380	27	14	6	2	1	1	2	
604	25	283	1	1	10	0	1520	27	8	11	6	1	1	4	
605	25	284	0	1	1	0	1185	5	19	10	3	3	1	4	
606	25	284	0	2	1	0	1185	5	19	10	3	3	1	2	
607	25	284	1	1	1	0	1185	5	19	10	3	3	1	0	
608	25	285	1	1	10	0	1280	5	1	11	7	3	1	4	
609	25	286	1	1	1	0	890	15	11	12	6	1	3	9	
610	25	286	2	1	1	0	890	15	11	12	6	1	3	4	
611	25	287	1	1	2	0	1270	13	22	11	4	3	1	0	
612	25	287	1	2	2	0	1270	13	22	11	4	3	1	0	
613	25	287	1	3	2	0	1270	13	22	11	4	3	1	0	
614	25	287	1	4	2	0	1270	13	22	11	4	3	1	3	
615	25	287	1	5	2	0	1270	13	22	11	4	3	1	4	
616	25	288	1	1	1	0	1270	13	4	11	5	3	1	4	
617	25	289	0	1	1	0	1270	13	12	12	1	1	1	4	
618	25	289	1	1	1	0	1270	13	12	12	1	1	1	0	
619	25	290	1	1	1	0	1070	25	7	12	6	1	1	4	
620	25	290	1	2	1	0	1070	25	7	12	6	1	1	4	
621	25	291	0	1	1	0	1030	3	12	8	5	1	2	4	
622	25	291	1	1	1	0	1030	3	12	8	5	1	2	0	
623	25	292	0	1	10	2	540	1	20	12	2	3	1	4	
624	25	292	1	1	10	2	540	1	20	12	2	3	1	0	
625	25	292	1	2	10	2	540	1	20	12	2	3	1	0	
626	25	293	0	1	1	0	1535	1	16	12	7	1	1	4	
627	25	293	1	1	1	0	1535	1	16	12	7	1	1	2	
628	25	293	2	1	1	0	1535	1	16	12	7	1	1	2	
629	25	294	1	1	1	0	1276	21	1	12	3	3	1	2	
630	25	294	2	1	1	0	1276	21	1	12	3	3	1	4	
631	25	295	0	1	2	0	640	27	5	9	1	2	1	4	
632	25	295	1	1	2	0	640	27	5	9	1	2	1	0	
633	25	296	0	1	1	0	2	23	19	11	1	2	1	4	
634	25	296	1	1	1	0	2	23	19	11	1	2	1	0	
635	25	297	1	1	1	0	180	21	17	9	1	1	1	4	
636	25	297	2	1	1	0	180	21	17	9	1	1	1	3	
637	25	297	2	2	1	0	180	21	17	9	1	1	1	3	
638	25	298	1	1	1	0	1095	27	10	9	6	1	1	4	
639	25	299	1	1	5	0	1410	27	6	1	4	2	1	4	
640	25	299	2	1	5	0	1410	27	6	1	4	2	1	0	
641	25	300	1	1	10	0	203	3	13	12	6	1	1	4	
642	25	300	2	1	10	0	203	3	13	12	6	1	1	0	
643	25	301	0	1	1	0	1520	27	7	11	7	1	2	4	
644	25	301	1	1	1	0	1520	27	7	11	7	1	2	0	
645	25	302	1	1	1	0	380	21	18	10	1	3	1	3	
646	25	302	2	1	1	0	380	21	18	10	1	3	1	4	
647	25	303	1	1	10	0	464	23	13	1	3	1	1	1	
648	25	303	2	1	10	0	464	23	13	1	3	1	1	4	
649	25	304	1	1	1	0	825	21	16	12	3	5	1	0	
650	25	304	2	1	1	0	825	21	16	12	3	5	1	4	
651	25	305	1	1	4	0	1480	3	10	12	5	1	1	1	
652	25	305	1	2	4	0	1480	3	10	12	5	1	1	4	
653	25	305	2	1	4	0	1480	3	10	12	5	1	1	3	
654	25	305	2	2	4	0	1480	3	10	12	5	1	1	3	
655	25	306	1	1	1	0	900	27	23	9	5	2	1	4	
656	25	306	1	2	1	0	900	27	23	9	5	2	1	2	
657	25	307	1	1	1	10	251	5	15	9	1	1	1	4	
658	25	307	1	2	1	10	251	5	15	9	1	1	1	3	
659	25	307	2	1	1	10	251	5	15	9	1	1	1	1	
660	25	308	0	1	10	0	330	1	7	10	1	1	1	4	
661	25	308	1	1	10	0	330	1	7	10	1	1	1	5	
662	25	309	1	1	2	0	1172	27	22	11	3	6	1	4	
663	25	310	1	1	1	0	120	25	17	12	5	3	1	4	
664	25	311	0	1	1	0	120	25	21	9	5	3	2	4	
665	25	311	1	1	1	0	120	25	21	9	5	3	2	0	
666	25	312	0	1	1	0	120	25	14	11	3	1	1	4	
667	25	312	0	2	1	0	120	25	14	11	3	1	1	9	
668	25	312	1	1	1	0	120	25	14	11	3	1	1	0	
669	25	313	1	1	10	0	120	25	1	9	6	3	1	4	
670	25	314	0	1	98	0	120	25	20	11	7	8	2	4	
671	25	314	1	1	98	0	120	25	20	11	7	8	2	9	
672	25	315	0	1	1	0	120	25	20	12	3	3	3	4	
673	25	315	1	1	1	0	120	25	20	12	3	3	3	1	
674	25	316	0	1	1	0	181	23	13	6	5	1	1	4	
675	25	316	1	1	1	0	181	23	13	6	5	1	1	0	
676	25	317	1	1	1	0	94	21	5	6	4	4	1	4	
677	25	318	0	1	1	0	120	25	9	7	6	1	1	4	
678	25	318	1	1	1	0	120	25	9	7	6	1	1	0	
679	25	319	0	1	1	0	1446	13	18	7	5	1	1	4	
680	25	319	1	1	1	0	1446	13	18	7	5	1	1	0	
681	25	320	0	1	1	0	1446	13	4	11	4	3	3	4	
682	25	320	1	1	1	0	1446	13	4	11	4	3	3	9	
683	25	321	1	1	1	0	1040	23	20	7	6	1	2	4	
684	25	321	1	2	1	0	1040	23	20	7	6	1	2	3	
685	25	321	2	1	1	0	1040	23	20	7	6	1	2	0	
686	25	321	2	2	1	0	1040	23	20	7	6	1	2	0	
687	25	321	2	3	1	0	1040	23	20	7	6	1	2	0	
688	25	322	1	1	1	0	1268	5	19	9	1	3	3	2	
689	25	322	1	2	1	0	1268	5	19	9	1	3	3	4	
690	25	323	0	1	10	0	1000	9	20	8	6	3	1	4	
691	25	323	1	1	10	0	1000	9	20	8	6	3	1	0	
692	25	324	0	1	1	0	1430	13	20	8	6	3	1	4	
693	25	324	1	1	1	0	1430	13	20	8	6	3	1	0	
694	25	325	1	1	1	0	304	3	10	8	3	1	2	4	
695	25	326	1	1	1	0	75	1	14	8	6	1	2	0	
696	25	326	2	1	1	0	75	1	14	8	6	1	2	4	
697	25	327	1	1	1	0	130	23	6	9	7	1	1	4	
698	25	328	0	1	98	0	220	27	23	10	3	2	2	4	
699	25	328	1	1	98	0	220	27	23	10	3	2	2	0	
700	25	330	0	1	10	0	1063	21	6	12	3	3	1	4	
701	25	330	1	1	10	0	1063	21	6	12	3	3	1	0	
702	25	330	2	1	10	0	1063	21	6	12	3	3	1	0	
703	25	331	0	1	1	0	660	17	6	12	5	2	1	4	
704	25	331	1	1	1	0	660	17	6	12	5	2	1	0	
705	25	332	1	1	1	0	375	17	8	5	1	3	1	4	
706	25	332	2	1	1	0	375	17	8	5	1	3	1	2	
707	25	333	1	1	10	0	15	13	12	1	4	1	3	4	
708	25	333	2	1	10	0	15	13	12	1	4	1	3	2	
709	25	334	1	1	1	0	436	27	17	1	4	3	1	4	
710	25	335	1	1	2	0	272	27	18	2	3	5	1	4	
711	25	336	1	1	99	0	261	17	17	8	3	6	4	4	
712	25	337	1	1	2	0	1278	27	15	11	5	1	1	4	
713	25	337	2	1	2	0	1278	27	15	11	5	1	1	0	
714	25	338	0	1	1	0	825	21	18	10	6	3	1	4	
715	25	338	1	1	1	0	825	21	18	10	6	3	1	0	
716	25	339	1	1	1	0	1270	13	9	8	1	1	2	3	
717	25	339	1	2	1	0	1270	13	9	8	1	1	2	4	
718	25	339	2	1	1	0	1270	13	9	8	1	1	2	3	
719	25	340	0	1	1	0	310	17	13	11	3	1	1	4	
720	25	340	1	1	1	0	310	17	13	11	3	1	1	0	
721	25	341	1	1	98	0	1120	1	8	12	5	1	1	4	
722	25	341	1	2	98	0	1120	1	8	12	5	1	1	3	
723	25	341	1	3	98	0	1120	1	8	12	5	1	1	2	
