Obs.	statenum	casenum	vnumber	pnumber	atmcond	atmcond2	city	county	acchr	accmon	dayofweek	lightcond	intersectiontype	injury	
198	25	92	2	3	1	0	1013	27	10	4	7	1	3	0	
199	25	93	1	1	1	0	1520	27	22	5	6	3	1	0	
200	25	93	2	1	1	0	1520	27	22	5	6	3	1	4	
201	25	94	1	1	2	0	94	21	6	6	6	1	1	0	
202	25	94	1	2	2	0	94	21	6	6	6	1	1	4	
203	25	94	1	3	2	0	94	21	6	6	6	1	1	2	
204	25	95	1	1	1	0	980	27	12	6	3	1	1	3	
205	25	95	1	2	1	0	980	27	12	6	3	1	1	4	
206	25	96	1	1	1	0	137	13	16	4	2	1	1	4	
207	25	97	1	1	1	0	1441	5	15	5	6	1	2	2	
208	25	97	1	2	1	0	1441	5	15	5	6	1	2	4	
209	25	97	2	1	1	0	1441	5	15	5	6	1	2	2	
210	25	98	0	1	2	0	120	25	15	5	1	1	7	4	
211	25	98	1	1	2	0	120	25	15	5	1	1	7	0	
212	25	99	1	1	1	0	1530	21	23	6	4	2	1	4	
213	25	100	1	1	1	0	130	23	6	6	1	1	1	4	
214	25	100	2	1	1	0	130	23	6	6	1	1	1	2	
215	25	100	3	1	1	0	130	23	6	6	1	1	1	0	
216	25	101	1	1	2	0	1204	27	20	6	3	6	1	1	
217	25	101	1	2	2	0	1204	27	20	6	3	6	1	4	
218	25	102	0	1	2	5	1360	23	20	5	4	3	1	4	
219	25	102	1	1	2	5	1360	23	20	5	4	3	1	0	
